iata_code,airline,country/region,comments
PR,2GO,Philippines,
1A,Amadeus IT Group S.A.,Global,GDS and airline hosting system (CRS/PSS)
1B,Sabre travel network Asia-Pacific (ex-Abacus),APAC,Regional distribution
1E,Travelsky,China,Local distribution system and hosting system (CRS/PSS)
1F,"Infini travel information, Inc.",Japan,Local distribution system (CRS)
1G,Travelport (Galileo core),Global,GDS (CRS)
1H,Sirena travel,Russia,Local distribution system (CRS) and PSS
1J,"Axess international network, Inc.",Japan,Local distribution system (CRS)
1K,AIRKIOSK,Global,Local distribution system (CRS) and PSS
1M,Sirin,Russia,Local distribution system (CRS) and PSS
1P,Travelport (Worldspan core),Global,GDS (CRS)
1S,Sabre travel network,Global,GDS and airline hosting system (CRS/PSS)
1T,Hitit Computer Services,Turkey,Computer reservation system
1U,Google/ITA,United States,Airline IT provider
2T,Timbis Air,Kenya,
Q5,40-Mile Air,United States,
4D,Air Sinai,Egypt,Defunct
4R,Star East Airline[de;fa;it;pl],Romania,
4O,Interjet,Mexico,Defunct
5W,Wizz Air Abu Dhabi,United Arab Emirates,
7B,Bees Airline,Ukraine,"Defunct, AOC revoked due to not having any aircraft."
AQ,9 Air,China,
1B,Abacus International,Singapore,Computer reservation system
BJ,Abaeté Linhas Aéreas,Brazil,defunct
RL,Abakan-Avia,Russia,
W9,Abelag Aviation,Belgium,defunct
M3,ABSA Cargo,Brazil,
GB,ABX Air,United States,"August 15, 2003 Air operations of formerAirborne Express"
ZA,AccessAir,United States,defunct
VX,ACES Colombia,Colombia,defunct
KI,Adam Air,Indonesia,defunct
Z7*,ADC Airlines,Nigeria,defunct; former name: Aviation Development Company
JP,Adria Airways,Slovenia,defunct as of September 2019
4G*,Advance Leasing Company,United States,
AN,Advanced Air,United States,2015[2]
A3,Aegean Airlines,Greece,
9D,Aero Continente Dominicana,Dominican Republic,defunct
ML,Aero Costa Rica,Costa Rica,defunct
DW,Aero-Charter Ukraine,Ukraine,
SU,Aeroflot,Russia,
P3,Aeroflot-Plus,Russia,
OB,Austrian Airtransport,Austria,"defunct; former IATA code: U8, OG; former ICAO code: AUC"
SM,Allied Airways,United Kingdom,"defunct, taken over byBritish European Airwayswhich went on to formBritish Airways."
KJ,Asian Air,Kyrgyzstan,
YE,Aryan Cargo Express,India,
VJ,Africa Airways,Benin,defunct
QH,Air Florida,United States,relaunching
3O,Air Arabia Maroc,Morocco,This ICAO designator was previously used byMalta Air Charter
HD,AIRDO,Japan,
UJ,AlMasria Universal Airlines,Egypt,
A2,Animawings,Romania,
X9,Avion Express,Lithuania,Name changed from Nordic Solutions Air
3S*,Aeroland Airways,Greece,"defunct, ICAO code no longer allocated"
JU,Air Serbia,Serbia,Name changed from Aeroput to JAT Yugoslav Airlines to Jat Airways to Air Serbia. Formerly used JAT as ICAO code.
QH,Air Kyrgyzstan,Kyrgyzstan,Name changed fromKyrgyzstan
XK,Air Corsica,France,
EI,Aer Lingus,Ireland,
EG,Aer Lingus UK,United Kingdom,
A8,Aerolink Uganda,Uganda,
RV,Air Canada Rouge,Canada,
7A,Aztec Worldwide Airlines,United States,
6U,Air Cargo Germany,Germany,defunct
ZI,Aigle Azur,France,Former name:Lucas Aigle Azur; former IATA code: LK
AE,Air Ceylon,Sri Lanka,defunct
4K*,Askari Aviation,Pakistan,
8U,Afriqiyah Airways,Libya,
Q9,Afrinat International Airlines,Gambia,"defunct, ICAO code no longer allocated"
KI,Air Atlantique,United Kingdom,"Former name:Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014."
QB,Air Alma,Canada,Ceased operations 10/01/2002; former IATA code: 4L
LD,Air Hong Kong,Hong Kong,
2Y,Air Andaman,Thailand,defunct 2004
UX,Air Europa,Spain,
IG,Air Italy,Italy,merged intoMeridiana
NX,Air Macau,Macao,
6A,Armenia Airways,Armenia,
HM,Air Seychelles,Seychelles,
AF,Air France,France,
SB,Air Caledonie International,France,
EH,Air Nippon Network Co. Ltd.,Japan,merged intoANA Wings
ED,AirExplore,Slovakia,
ZW,Air Wisconsin,United States,
YI,Air Sunshine,United States,
GN,Air Gabon,Gabon,defunct
9T,Air ACT,Turkey,
ZB,Air Albania,Albania,
3J,Air Alliance,Canada,defunct
WP,Air Antwerp,Belgium,defunct
BX,Air Busan,South Korea,
LB,Air Costa,India,
GL,Air Greenland,Greenland,
3S,Air Guyane Express,French Guiana,
NQ,Air Japan,Japan,
IJ,Air Liberté,France,defunct
TT,Air Lithuania,Lithuania,defunct
QM,Air Malawi,Malawi,defunct
L6,Air Maldives,Maldives,defunct
ML,Air Mediterranee,France,defunct
P8,Air Mekong,Vietnam,defunct
ZQ,Air Montenegro,Montenegro,
